id,iata_code,name,latitude_deg,longitude_deg,continent,iso_country,iso_region
7150,CQA,Canarana Airport,-13.57444382,-52.2705574,SA,BR,BR-MT
7151,SXO,São Félix do Araguaia Airport,-11.63239956,-50.6896019,SA,BR,BR-MT
7152,SWG,Satwag Airport,-6.139555556,147.2791667,OC,PG,PG-MPL
7153,GRP,Gurupi Airport,-11.73960018,-49.13219833,SA,BR,BR-TO
7154,AUX,Araguaína Airport,-7.22787,-48.240501,SA,BR,BR-TO
7155,HUW,Humaitá Airport,-7.532120228,-63.07210159,SA,BR,BR-AM
7156,IPG,Ipiranga Airport,-2.939069986,-69.69400024,SA,BR,BR-AM
7157,IDO,Santa Izabel do Morro Airport,-11.57229996,-50.66619873,SA,BR,BR-TO
7158,JPR,Ji-Paraná Airport,-10.87080002,-61.8465004,SA,BR,BR-RO
7159,JIA,Juína Airport,-11.419444,-58.701668,SA,BR,BR-MT
7160,JRN,Juruena Airport,-10.30583286,-58.48944473,SA,BR,BR-MT
7161,JTI,Jataí Airport,-17.82990074,-51.77299881,SA,BR,BR-GO
7162,CCX,Cáceres Airport,-16.04360008,-57.62990189,SA,BR,BR-MT
7163,CIZ,Coari Airport,-4.134059906,-63.13259888,SA,BR,BR-AM
7164,TLZ,Catalão Airport,-18.21680069,-47.89970016,SA,BR,BR-GO
7165,LBR,Lábrea Airport,-7.278969765,-64.76950073,SA,BR,BR-AM
7166,RVD,General Leite de Castro Airport,-17.83472252,-50.95611191,SA,BR,BR-GO
7167,MBZ,Maués Airport,-3.37217,-57.7248,SA,BR,BR-AM
7168,NVP,Novo Aripuanã Airport,-5.118030071,-60.36489868,SA,BR,BR-AM
7169,BCR,Novo Campo Airport,-8.83456,-67.312401,SA,BR,BR-AM
7170,NQL,Niquelândia Airport,-14.43490028,-48.49150085,SA,BR,BR-GO
7171,APS,Anápolis Airport,-16.36230087,-48.92710114,SA,BR,BR-GO
7172,FBA,Fonte Boa Airport,-2.53260994,-66.08319855,SA,BR,BR-AM
7173,PBV,Porto dos Gaúchos Airport,-11.5404,-57.3782,SA,BR,BR-MT
7174,PIN,Parintins Airport,-2.673019886,-56.77719879,SA,BR,BR-AM
7175,PBQ,Pimenta Bueno Airport,-11.64159966,-61.17910004,SA,BR,BR-RO
7176,PBX,Fazenda Piraguassu Airport,-10.86111069,-51.68500137,SA,BR,BR-MT
7177,SWR,Silur Airport,-4.529888889,153.0544444,OC,PG,PG-NIK
7178,AAI,Arraias Airport,-13.025154,-46.884107,SA,BR,BR-TO
7179,ROO,Maestro Marinho Franco Airport,-16.586,-54.7248,SA,BR,BR-MT
7180,AIR,Aripuanã Airport,-10.188278,-59.457273,SA,BR,BR-MT
7181,OPS,Presidente João Batista Figueiredo Airport,-11.885001,-55.586109,SA,BR,BR-MT
7182,STZ,Santa Terezinha Airport,-10.46472168,-50.51861191,SA,BR,BR-MT
7183,IRZ,Tapuruquara Airport,-0.3786,-64.9923,SA,BR,BR-AM
7184,TGQ,Tangará da Serra Airport,-14.662,-57.443501,SA,BR,BR-MT
7185,AZL,Fazenda Tucunaré Airport,-13.465528,-58.866935,SA,BR,BR-MT
7186,QHN,Taguatinga Airport,-12.43388939,-46.40055466,SA,BR,BR-TO
7187,SQM,São Miguel do Araguaia Airport,-13.33129978,-50.19760132,SA,BR,BR-GO
7188,MTG,Vila Bela da Santíssima Trindade Airport,-14.9942,-59.9458,SA,BR,BR-MT
7189,VLP,Vila Rica Airport,-9.97944355,-51.14222336,SA,BR,BR-MT
7190,MBK,Regional Orlando Villas Boas Airport,-10.1702776,-54.95277786,SA,BR,BR-MT
7191,NOK,Xavantina Airport,-14.69830036,-52.34640121,SA,BR,BR-MT
7192,SXH,Sehulea Airport,-9.964527778,151.1618611,OC,PG,PG-MBA
7193,SXP,Nunam Iqua Airport,62.520599,-164.848006,NA,US,US-AK
7194,AHL,Aishalton Airport,2.486530066,-59.31340027,SA,GY,GY-UT
7195,NAI,Annai Airport,3.959439993,-59.12419891,SA,GY,GY-UT
7196,SYB,Seal Bay Seaplane Base,58.3733,-152.2018,NA,US,US-AK
7197,BMJ,Baramita Airport,7.370120049,-60.48799896,SA,GY,GY-BA
7198,GFO,Bartica A Airport,6.358864,-58.655207,SA,GY,GY-CU
7199,GEO,Cheddi Jagan International Airport,6.498549938,-58.2541008,SA,GY,GY-DE
7200,SYF,Silva Bay Seaplane Base,49.15,-123.696,NA,CA,CA-BC
7201,OGL,Eugene F. Correira International Airport,6.80628,-58.1059,SA,GY,GY-DE
7202,IMB,Imbaimadai Airport,5.708109856,-60.2942009,SA,GY,GY-CU
7203,KAR,Kamarang Airport,5.865340233,-60.61420059,SA,GY,GY-CU
7204,KRM,Karanambo Airport,3.751940012,-59.30970001,SA,GY,GY-UT
7205,KRG,Karasabai Airport,4.033329964,-59.53329849,SA,GY,GY-UT
7206,KTO,Kato Airport,4.649159908,-59.8321991,SA,GY,GY-PT
7207,KKG,Konawaruk Airport,5.2684,-58.995,SA,GY,GY-PT
7208,SYL,Roberts Army Heliport,35.81499863,-120.7440033,NA,US,US-CA
7209,LUB,Lumid Pau Airport,2.393929958,-59.44100189,SA,GY,GY-UT
7210,LTM,Lethem Airport,3.37276,-59.789398,SA,GY,GY-UT
7211,USI,Mabaruma Airport,8.199999809,-59.78329849,SA,GY,GY-BA
7212,MHA,Mahdia Airport,5.277490139,-59.15110016,SA,GY,GY-PT
7213,VEG,Maikwak Airport,4.898172,-59.817027,SA,GY,GY-PT
